quarter,metric,scenario,value,lower,upper,units,information_date,evidence_status,source_ref,treatment,baseline_being_replaced,baseline_value_usd,embedded_fx,embedded_hedges,adoption_status,reference_basis,source_reference,package,source_period,source_information_date,package_input_file,bundle_payload_reference,baseline_replaced,limitations,lower_bound,upper_bound,replacement_vs_incremental
2026Q3,reference_normalized_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4733211331,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,diagnostic_reference_only_not_new_forecast,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,ordinary_booking_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,baseline_identity_do_not_add,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_retimed_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,conditional_replacement_level,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_fx_incremental_replacement,fx0.95_nonusd0.40_u0.00_equal_recognition_months,0,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,incremental_replacement_only_after_compatibility_check,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_fx_replacement_multiplier,fx0.95_nonusd0.40_u0.00_equal_recognition_months,1,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,multiply_only_matching_ordinary_booking_baseline,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_fx_level_multiplier,fx0.95_nonusd0.40_u0.00_equal_recognition_months,1.01587750752,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,reference_level_only_never_multiply_reported_kernel,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,reference_normalized_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4733211331,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,diagnostic_reference_only_not_new_forecast,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,ordinary_booking_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,baseline_identity_do_not_add,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_retimed_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,conditional_replacement_level,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_fx_incremental_replacement,fx1.00_nonusd0.40_u0.00_equal_recognition_months,0,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,incremental_replacement_only_after_compatibility_check,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
2026Q3,rnpl_fx_replacement_multiplier,fx1.00_nonusd0.40_u0.00_equal_recognition_months,1,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,multiply_only_matching_ordinary_booking_baseline,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,cohort_fx,2026Q3,2026-09-13,data/processed/forecast_methods/cohort_fx_v2/results_v2/l4_adapter.csv,payload/cohort_fx/l4_adapter.csv,,,,,
