check,passed
input hash horizon_predictions,True
input hash flight_predictions,True
input hash common_pairs,True
input hash common_gates,True
input hash eligible_pairs,True
input hash eligible_gates,True
input hash flight_pairs,True
input hash flight_gates,True
input hash harness_v1,True
input hash harness_v1_1,True
input hash prereg,True
output hash comparisons.csv,True
output hash deletions.csv,True
output hash gate_changes.csv,True
output hash gates.csv,True
output hash receipt.json,True
output hash scores.csv,True
code hash,True
sample targets 0,True
score 0n,True
score 0n_year_clusters,True
score 0rmse_musd,True
score 0mae_musd,True
score 0signed_distance_bias_musd,True
inside rounding count 0,True
sample targets 1,True
score 1n,True
score 1n_year_clusters,True
score 1rmse_musd,True
score 1mae_musd,True
score 1signed_distance_bias_musd,True
inside rounding count 1,True
sample targets 2,True
score 2n,True
score 2n_year_clusters,True
score 2rmse_musd,True
score 2mae_musd,True
score 2signed_distance_bias_musd,True
inside rounding count 2,True
sample targets 3,True
score 3n,True
score 3n_year_clusters,True
score 3rmse_musd,True
score 3mae_musd,True
score 3signed_distance_bias_musd,True
inside rounding count 3,True
sample targets 4,True
score 4n,True
score 4n_year_clusters,True
score 4rmse_musd,True
score 4mae_musd,True
score 4signed_distance_bias_musd,True
inside rounding count 4,True
sample targets 5,True
score 5n,True
score 5n_year_clusters,True
score 5rmse_musd,True
score 5mae_musd,True
score 5signed_distance_bias_musd,True
inside rounding count 5,True
sample targets 6,True
score 6n,True
score 6n_year_clusters,True
score 6rmse_musd,True
score 6mae_musd,True
score 6signed_distance_bias_musd,True
inside rounding count 6,True
sample targets 7,True
score 7n,True
score 7n_year_clusters,True
score 7rmse_musd,True
score 7mae_musd,True
score 7signed_distance_bias_musd,True
inside rounding count 7,True
sample targets 8,True
score 8n,True
score 8n_year_clusters,True
score 8rmse_musd,True
score 8mae_musd,True
score 8signed_distance_bias_musd,True
inside rounding count 8,True
sample targets 9,True
score 9n,True
score 9n_year_clusters,True
score 9rmse_musd,True
score 9mae_musd,True
score 9signed_distance_bias_musd,True
inside rounding count 9,True
sample targets 10,True
score 10n,True
score 10n_year_clusters,True
score 10rmse_musd,True
score 10mae_musd,True
score 10signed_distance_bias_musd,True
inside rounding count 10,True
sample targets 11,True
score 11n,True
score 11n_year_clusters,True
score 11rmse_musd,True
score 11mae_musd,True
score 11signed_distance_bias_musd,True
inside rounding count 11,True
sample targets 12,True
score 12n,True
score 12n_year_clusters,True
score 12rmse_musd,True
score 12mae_musd,True
score 12signed_distance_bias_musd,True
inside rounding count 12,True
sample targets 13,True
score 13n,True
score 13n_year_clusters,True
score 13rmse_musd,True
score 13mae_musd,True
score 13signed_distance_bias_musd,True
inside rounding count 13,True
sample targets 14,True
score 14n,True
score 14n_year_clusters,True
score 14rmse_musd,True
score 14mae_musd,True
score 14signed_distance_bias_musd,True
inside rounding count 14,True
sample targets 15,True
score 15n,True
score 15n_year_clusters,True
score 15rmse_musd,True
score 15mae_musd,True
score 15signed_distance_bias_musd,True
inside rounding count 15,True
sample targets 16,True
score 16n,True
score 16n_year_clusters,True
score 16rmse_musd,True
score 16mae_musd,True
score 16signed_distance_bias_musd,True
inside rounding count 16,True
sample targets 17,True
score 17n,True
score 17n_year_clusters,True
score 17rmse_musd,True
score 17mae_musd,True
score 17signed_distance_bias_musd,True
inside rounding count 17,True
sample targets 18,True
score 18n,True
score 18n_year_clusters,True
score 18rmse_musd,True
score 18mae_musd,True
score 18signed_distance_bias_musd,True
inside rounding count 18,True
sample targets 19,True
score 19n,True
score 19n_year_clusters,True
score 19rmse_musd,True
score 19mae_musd,True
score 19signed_distance_bias_musd,True
inside rounding count 19,True
sample targets 20,True
score 20n,True
score 20n_year_clusters,True
score 20rmse_musd,True
score 20mae_musd,True
score 20signed_distance_bias_musd,True
inside rounding count 20,True
sample targets 21,True
score 21n,True
score 21n_year_clusters,True
score 21rmse_musd,True
score 21mae_musd,True
score 21signed_distance_bias_musd,True
inside rounding count 21,True
sample targets 22,True
score 22n,True
score 22n_year_clusters,True
score 22rmse_musd,True
score 22mae_musd,True
score 22signed_distance_bias_musd,True
inside rounding count 22,True
sample targets 23,True
score 23n,True
score 23n_year_clusters,True
score 23rmse_musd,True
score 23mae_musd,True
score 23signed_distance_bias_musd,True
inside rounding count 23,True
sample targets 24,True
score 24n,True
score 24n_year_clusters,True
score 24rmse_musd,True
score 24mae_musd,True
score 24signed_distance_bias_musd,True
inside rounding count 24,True
sample targets 25,True
score 25n,True
score 25n_year_clusters,True
score 25rmse_musd,True
score 25mae_musd,True
score 25signed_distance_bias_musd,True
inside rounding count 25,True
sample targets 26,True
score 26n,True
score 26n_year_clusters,True
score 26rmse_musd,True
score 26mae_musd,True
score 26signed_distance_bias_musd,True
inside rounding count 26,True
sample targets 27,True
score 27n,True
score 27n_year_clusters,True
score 27rmse_musd,True
score 27mae_musd,True
score 27signed_distance_bias_musd,True
inside rounding count 27,True
sample targets 28,True
score 28n,True
score 28n_year_clusters,True
score 28rmse_musd,True
score 28mae_musd,True
score 28signed_distance_bias_musd,True
inside rounding count 28,True
sample targets 29,True
score 29n,True
score 29n_year_clusters,True
score 29rmse_musd,True
score 29mae_musd,True
score 29signed_distance_bias_musd,True
inside rounding count 29,True
sample targets 30,True
score 30n,True
score 30n_year_clusters,True
score 30rmse_musd,True
score 30mae_musd,True
score 30signed_distance_bias_musd,True
inside rounding count 30,True
sample targets 31,True
score 31n,True
score 31n_year_clusters,True
score 31rmse_musd,True
score 31mae_musd,True
score 31signed_distance_bias_musd,True
inside rounding count 31,True
sample targets 32,True
score 32n,True
score 32n_year_clusters,True
score 32rmse_musd,True
score 32mae_musd,True
score 32signed_distance_bias_musd,True
inside rounding count 32,True
sample targets 33,True
score 33n,True
score 33n_year_clusters,True
score 33rmse_musd,True
score 33mae_musd,True
score 33signed_distance_bias_musd,True
inside rounding count 33,True
sample targets 34,True
score 34n,True
score 34n_year_clusters,True
score 34rmse_musd,True
score 34mae_musd,True
score 34signed_distance_bias_musd,True
inside rounding count 34,True
sample targets 35,True
score 35n,True
score 35n_year_clusters,True
score 35rmse_musd,True
score 35mae_musd,True
score 35signed_distance_bias_musd,True
inside rounding count 35,True
sample targets 36,True
score 36n,True
score 36n_year_clusters,True
score 36rmse_musd,True
score 36mae_musd,True
score 36signed_distance_bias_musd,True
inside rounding count 36,True
sample targets 37,True
score 37n,True
score 37n_year_clusters,True
score 37rmse_musd,True
score 37mae_musd,True
score 37signed_distance_bias_musd,True
inside rounding count 37,True
sample targets 38,True
score 38n,True
score 38n_year_clusters,True
score 38rmse_musd,True
score 38mae_musd,True
score 38signed_distance_bias_musd,True
inside rounding count 38,True
sample targets 39,True
score 39n,True
score 39n_year_clusters,True
score 39rmse_musd,True
score 39mae_musd,True
score 39signed_distance_bias_musd,True
inside rounding count 39,True
sample targets 40,True
score 40n,True
score 40n_year_clusters,True
score 40rmse_musd,True
score 40mae_musd,True
score 40signed_distance_bias_musd,True
inside rounding count 40,True
sample targets 41,True
score 41n,True
score 41n_year_clusters,True
score 41rmse_musd,True
score 41mae_musd,True
score 41signed_distance_bias_musd,True
inside rounding count 41,True
sample targets 42,True
score 42n,True
score 42n_year_clusters,True
score 42rmse_musd,True
score 42mae_musd,True
score 42signed_distance_bias_musd,True
inside rounding count 42,True
sample targets 43,True
score 43n,True
score 43n_year_clusters,True
score 43rmse_musd,True
score 43mae_musd,True
score 43signed_distance_bias_musd,True
inside rounding count 43,True
sample targets 44,True
score 44n,True
score 44n_year_clusters,True
score 44rmse_musd,True
score 44mae_musd,True
score 44signed_distance_bias_musd,True
inside rounding count 44,True
sample targets 45,True
score 45n,True
score 45n_year_clusters,True
score 45rmse_musd,True
score 45mae_musd,True
score 45signed_distance_bias_musd,True
inside rounding count 45,True
sample targets 46,True
score 46n,True
score 46n_year_clusters,True
score 46rmse_musd,True
score 46mae_musd,True
score 46signed_distance_bias_musd,True
inside rounding count 46,True
sample targets 47,True
score 47n,True
score 47n_year_clusters,True
score 47rmse_musd,True
score 47mae_musd,True
score 47signed_distance_bias_musd,True
inside rounding count 47,True
sample targets 48,True
score 48n,True
score 48n_year_clusters,True
score 48rmse_musd,True
score 48mae_musd,True
score 48signed_distance_bias_musd,True
inside rounding count 48,True
sample targets 49,True
score 49n,True
score 49n_year_clusters,True
score 49rmse_musd,True
score 49mae_musd,True
score 49signed_distance_bias_musd,True
inside rounding count 49,True
sample targets 50,True
score 50n,True
score 50n_year_clusters,True
score 50rmse_musd,True
score 50mae_musd,True
score 50signed_distance_bias_musd,True
inside rounding count 50,True
sample targets 51,True
score 51n,True
score 51n_year_clusters,True
score 51rmse_musd,True
score 51mae_musd,True
score 51signed_distance_bias_musd,True
inside rounding count 51,True
sample targets 52,True
score 52n,True
score 52n_year_clusters,True
score 52rmse_musd,True
score 52mae_musd,True
score 52signed_distance_bias_musd,True
inside rounding count 52,True
sample targets 53,True
score 53n,True
score 53n_year_clusters,True
score 53rmse_musd,True
score 53mae_musd,True
score 53signed_distance_bias_musd,True
inside rounding count 53,True
sample targets 54,True
score 54n,True
score 54n_year_clusters,True
score 54rmse_musd,True
score 54mae_musd,True
score 54signed_distance_bias_musd,True
inside rounding count 54,True
sample targets 55,True
score 55n,True
score 55n_year_clusters,True
score 55rmse_musd,True
score 55mae_musd,True
score 55signed_distance_bias_musd,True
inside rounding count 55,True
sample targets 56,True
score 56n,True
score 56n_year_clusters,True
score 56rmse_musd,True
score 56mae_musd,True
score 56signed_distance_bias_musd,True
inside rounding count 56,True
sample targets 57,True
score 57n,True
score 57n_year_clusters,True
score 57rmse_musd,True
score 57mae_musd,True
score 57signed_distance_bias_musd,True
inside rounding count 57,True
sample targets 58,True
score 58n,True
score 58n_year_clusters,True
score 58rmse_musd,True
score 58mae_musd,True
score 58signed_distance_bias_musd,True
inside rounding count 58,True
sample targets 59,True
score 59n,True
score 59n_year_clusters,True
score 59rmse_musd,True
score 59mae_musd,True
score 59signed_distance_bias_musd,True
inside rounding count 59,True
sample targets 60,True
score 60n,True
score 60n_year_clusters,True
score 60rmse_musd,True
score 60mae_musd,True
score 60signed_distance_bias_musd,True
inside rounding count 60,True
sample targets 61,True
score 61n,True
score 61n_year_clusters,True
score 61rmse_musd,True
score 61mae_musd,True
score 61signed_distance_bias_musd,True
inside rounding count 61,True
sample targets 62,True
score 62n,True
score 62n_year_clusters,True
score 62rmse_musd,True
score 62mae_musd,True
score 62signed_distance_bias_musd,True
inside rounding count 62,True
sample targets 63,True
score 63n,True
score 63n_year_clusters,True
score 63rmse_musd,True
score 63mae_musd,True
score 63signed_distance_bias_musd,True
inside rounding count 63,True
sample targets 64,True
score 64n,True
score 64n_year_clusters,True
score 64rmse_musd,True
score 64mae_musd,True
score 64signed_distance_bias_musd,True
inside rounding count 64,True
sample targets 65,True
score 65n,True
score 65n_year_clusters,True
score 65rmse_musd,True
score 65mae_musd,True
score 65signed_distance_bias_musd,True
inside rounding count 65,True
sample targets 66,True
score 66n,True
score 66n_year_clusters,True
score 66rmse_musd,True
score 66mae_musd,True
score 66signed_distance_bias_musd,True
inside rounding count 66,True
sample targets 67,True
score 67n,True
score 67n_year_clusters,True
score 67rmse_musd,True
score 67mae_musd,True
score 67signed_distance_bias_musd,True
inside rounding count 67,True
sample targets 68,True
score 68n,True
score 68n_year_clusters,True
score 68rmse_musd,True
score 68mae_musd,True
score 68signed_distance_bias_musd,True
inside rounding count 68,True
sample targets 69,True
score 69n,True
score 69n_year_clusters,True
score 69rmse_musd,True
score 69mae_musd,True
score 69signed_distance_bias_musd,True
inside rounding count 69,True
sample targets 70,True
score 70n,True
score 70n_year_clusters,True
score 70rmse_musd,True
score 70mae_musd,True
score 70signed_distance_bias_musd,True
inside rounding count 70,True
sample targets 71,True
score 71n,True
score 71n_year_clusters,True
score 71rmse_musd,True
score 71mae_musd,True
score 71signed_distance_bias_musd,True
inside rounding count 71,True
sample targets 72,True
score 72n,True
score 72n_year_clusters,True
score 72rmse_musd,True
score 72mae_musd,True
score 72signed_distance_bias_musd,True
inside rounding count 72,True
sample targets 73,True
score 73n,True
score 73n_year_clusters,True
score 73rmse_musd,True
score 73mae_musd,True
score 73signed_distance_bias_musd,True
inside rounding count 73,True
sample targets 74,True
score 74n,True
score 74n_year_clusters,True
score 74rmse_musd,True
score 74mae_musd,True
score 74signed_distance_bias_musd,True
inside rounding count 74,True
sample targets 75,True
score 75n,True
score 75n_year_clusters,True
score 75rmse_musd,True
score 75mae_musd,True
score 75signed_distance_bias_musd,True
inside rounding count 75,True
sample targets 76,True
score 76n,True
score 76n_year_clusters,True
score 76rmse_musd,True
score 76mae_musd,True
score 76signed_distance_bias_musd,True
inside rounding count 76,True
sample targets 77,True
score 77n,True
score 77n_year_clusters,True
score 77rmse_musd,True
score 77mae_musd,True
score 77signed_distance_bias_musd,True
inside rounding count 77,True
sample targets 78,True
score 78n,True
score 78n_year_clusters,True
score 78rmse_musd,True
score 78mae_musd,True
score 78signed_distance_bias_musd,True
inside rounding count 78,True
sample targets 79,True
score 79n,True
score 79n_year_clusters,True
score 79rmse_musd,True
score 79mae_musd,True
score 79signed_distance_bias_musd,True
inside rounding count 79,True
sample targets 80,True
score 80n,True
score 80n_year_clusters,True
score 80rmse_musd,True
